selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
low_R	0.5	P4x4	512	-0.8125267327851592	9.789933856974514	17.414969508389607	0.17890129442301983	0.8141002333029529
low_R	0.5	P4x5	512	-0.7794583669504813	9.513616925654807	15.402526826730822	0.20921112679540507	0.8381244889295797
low_R	0.5	P4x6	512	-0.7123408371098979	9.584511899485836	14.355962763776647	0.24111463721471654	0.8292665551981732
low_R	0.5	P5x5	512	-0.6629262225197698	8.925917889909165	13.535768737241364	0.273154028737753	0.8437955079134134
low_R	0.5	P5x6	512	-0.5570280045147114	9.183382712781459	12.33552964458888	0.28763298666498205	0.86258589584944
low_R	0.5	P6x6	512	-0.4496143326352411	9.070259628314721	11.42411505455021	0.37551023084282953	0.8536118881702471
low_R	0.2	G05	103	-0.6230615472477266	13.481015904770645	20.59688975498999	0.17463947073890412	0.714410363898728
low_R	0.2	G06	103	-0.6410183192022142	13.465125318730331	19.28316707604955	0.20419778390950236	0.6908550887351059
low_R	0.2	G07	103	-0.38177085621403156	11.924671717770792	16.74442093041871	0.27215673285991493	0.7458522392903429
low_R	0.2	G08	103	-0.2452993893599262	11.007140400814665	16.35339564064354	0.26686011308800583	0.7448532509168573
low_R	0.2	G09	103	-0.38751482669243953	13.008757432593988	16.29484930234164	0.2856236916598421	0.7811353314855473
low_R	0.2	G10	103	-0.32009181566577344	11.894197244832187	15.152366747311843	0.312054059339898	0.8595596058028344
low_R	0.2	G11	103	-0.2424878091639942	11.872415245017677	15.273462933377772	0.27344683073931686	0.7835927061265431
low_R	0.2	G12	103	-0.05434257347449809	12.475394166668492	15.082731118790717	0.33627799236638517	0.8080429885738603
low_R	0.2	P3x3	205	-0.7675558217603877	12.206403909027228	17.526110137794994	0.3409139947066173	0.6464199674959318
low_R	0.2	P3x4	205	-0.6354403755345377	11.76521412117614	15.199226953916488	0.2688744998139417	0.7119073397957835
low_R	0.2	P3x5	205	-0.663016255519494	11.10919623389961	14.01682279594878	0.32753159472945537	0.7650778325167292
low_R	0.2	P3x6	205	-0.660770848713627	10.769324413781826	13.438208161417075	0.3728118163094023	0.8073487367323776
low_R	0.2	P4x4	205	-0.5118482818180552	9.789933856974514	13.271607660847668	0.3419933500345983	0.8141002333029529
low_R	0.2	P4x5	205	-0.38933153180760816	9.513616925654807	12.283379234285148	0.32423339385099154	0.8381244889295797
low_R	0.2	P4x6	205	-0.32702010001253634	9.584511899485836	11.65641977392063	0.3321366865178688	0.8292665551981732
low_R	0.2	P5x5	205	-0.2909960858603446	8.925917889909165	11.345578530025225	0.41027170707635063	0.8437955079134134
low_R	0.2	P5x6	205	-0.17856137956011198	9.183382712781459	10.774799019147514	0.4086790979830512	0.8459037671362852
low_R	0.2	P6x6	205	-0.20658439080107535	9.070259628314721	10.284527576611838	0.4319298096533058	0.8536118881702471
low_R	0.1	G05	52	-0.3794074959446768	13.481015904770645	17.658858507115713	0.23377029717702	0.714410363898728
low_R	0.1	G06	52	-0.43908477759754116	13.465125318730331	16.70740587600455	0.24052399376045802	0.6908550887351059
low_R	0.1	G07	52	-0.12353794928711687	11.924671717770792	15.412516496062079	0.28258654362795477	0.7458522392903429
low_R	0.1	G08	52	-0.10338939639716554	11.007140400814665	14.954804424871593	0.2934288482117255	0.7173589963009481
low_R	0.1	G09	52	-0.2959105267651327	13.008757432593988	15.015155016775328	0.3236659047870301	0.7811353314855473
low_R	0.1	G10	52	-0.023563561854349865	11.894197244832187	14.280202173031999	0.4000307970079478	0.8595596058028344
low_R	0.1	G11	52	0.06386066763425254	11.872415245017677	14.616742058046379	0.27344683073931686	0.7835927061265431
low_R	0.1	G12	52	-0.09912063519166738	12.475394166668492	14.283724527332032	0.3743936267544956	0.7977601204413574
low_R	0.1	P3x3	103	-0.1453564995826561	12.206403909027228	15.186848557916488	0.4141470682666157	0.6464199674959318
low_R	0.1	P3x4	103	-0.46728243201686953	11.76521412117614	13.692293633436007	0.34769279235758555	0.7119073397957835
low_R	0.1	P3x5	103	-0.5855225585379782	11.10919623389961	12.959556181646978	0.40740789360353324	0.7650778325167292
low_R	0.1	P3x6	103	-0.6012498352589729	10.769324413781826	12.4722716445948	0.4364129268009184	0.8073487367323776
low_R	0.1	P4x4	103	-0.32613231999297104	9.789933856974514	12.205181100327573	0.41138614868954376	0.8141002333029529
low_R	0.1	P4x5	103	-0.1355379343671748	9.513616925654807	11.460473220147424	0.32423339385099154	0.8381244889295797
low_R	0.1	P4x6	103	-0.2057944910600536	9.584511899485836	11.144333077011723	0.3321366865178688	0.8292665551981732
low_R	0.1	P5x5	103	-0.015244036374818784	8.925917889909165	10.763132807330708	0.43933648758523197	0.8437955079134134
low_R	0.1	P5x6	103	0.06489698194438343	9.183382712781459	10.326349909939768	0.4544071096234281	0.8459037671362852
low_R	0.1	P6x6	103	0.006018538856916927	9.070259628314721	9.921767663991238	0.4319298096533058	0.8536118881702471
low_R	0.05	G05	26	-0.28136752136752136	13.481015904770645	16.451888458487385	0.23377029717702	0.714410363898728
low_R	0.05	G06	26	-0.2704273504273504	13.465125318730331	15.514039190119274	0.319420378824921	0.6908550887351059
low_R	0.05	G07	26	0.02974358974358974	11.924671717770792	14.527557762127346	0.35484968073316003	0.6902307275245304
low_R	0.05	G08	26	-0.17811965811965808	11.007140400814665	14.189908737744988	0.3031014564624158	0.6921437001704945
low_R	0.05	G09	26	-0.1699145299145299	13.008757432593988	14.424957283639463	0.3236659047870301	0.7811353314855473
low_R	0.05	G10	26	0.08102564102564101	11.894197244832187	13.569852541978133	0.4146214593459324	0.7660055006853072
low_R	0.05	G11	26	-0.28478632478632476	11.872415245017677	13.93350685423568	0.3488766819425237	0.7173500583025155
low_R	0.05	G12	26	-0.02358974358974359	12.475394166668492	13.719450182787007	0.37575493362489387	0.7350903285859643
low_R	0.05	P3x3	52	0.028771450525057623	12.206403909027228	14.104297178848796	0.4490396035979759	0.6464199674959318
low_R	0.05	P3x4	52	-0.2816528643387689	11.76521412117614	13.067994452238214	0.41610995416164454	0.7119073397957835
low_R	0.05	P3x5	52	-0.5367540339793392	11.10919623389961	12.359720189657704	0.4601521775607091	0.7650778325167292
low_R	0.05	P3x6	52	-0.5534875779048919	10.769324413781826	11.912570022080603	0.49496578619322906	0.8073487367323776
low_R	0.05	P4x4	52	-0.15282165115683427	9.789933856974514	11.682826951618173	0.41138614868954376	0.8141002333029529
low_R	0.05	P4x5	52	-0.016989669597882694	9.513616925654807	11.120927970576135	0.40712696551443234	0.7988226871046541
low_R	0.05	P4x6	52	0.12669683257918551	9.584511899485836	10.735476252224238	0.4205585942397577	0.8292665551981732
low_R	0.05	P5x5	52	0.13062409288824384	8.925917889909165	10.366592489376687	0.44926926163425324	0.7973980400416846
low_R	0.05	P5x6	52	0.18415435840519082	9.183382712781459	10.039059022486896	0.4569233399032621	0.8029255717206577
low_R	0.05	P6x6	52	0.038589601297703405	9.070259628314721	9.656743498241303	0.4999606726399662	0.8536118881702471
low_R	0.02	G05	11	0.3454545454545455	13.481015904770645	15.671875155762539	0.40284678463361573	0.714410363898728
low_R	0.02	G06	11	-0.10909090909090911	13.465125318730331	14.631396828612697	0.411816042841724	0.6908550887351059
low_R	0.02	G07	11	-0.13636363636363638	11.924671717770792	14.044378656315445	0.4139202531364023	0.6316543332902312
low_R	0.02	G08	11	-0.5727272727272729	11.007140400814665	13.66059747869697	0.3742179375557583	0.6664610091925184
low_R	0.02	G09	11	0.08181818181818183	13.008757432593988	13.751701600637336	0.47856277546778514	0.7811353314855473
low_R	0.02	G10	11	-0.009090909090909092	11.894197244832187	12.934867434490332	0.4146214593459324	0.7459714935308657
low_R	0.02	G11	11	-0.15454545454545454	11.872415245017677	13.37831497676866	0.4436994220246668	0.6741716956907623
