selection	fraction	group	selected_ids_sha256
low_R	0.05	G12	50b0b05c8e0882c54c1f274ee9f603eba8e1977c0a0d440f5499ab3fc524150f
low_R	0.05	P3x3	92b211939510cdbefb5dd1141695a51fd2d70616eed56ed08813bb8efb5bb1f7
low_R	0.05	P3x4	63354933640a4e03a2ca5fd22f7522ecb5ac8793e8dbf7e721f1b56a84902faf
low_R	0.05	P3x5	e1f4749e48e4b7d8a091b945616f0011c56bfdab952d4f34f3bdff29c126c206
low_R	0.05	P3x6	ef728c02a5701554872f954479885bd22f0e8c1887c3612bf5acd0c0a0b12488
low_R	0.05	P4x4	9ffb2063909547a49aba92b3d24bce8e56baad5506b0ad47708e946c685c90a6
low_R	0.05	P4x5	15f9fab6e9df04dd03c5668d7d43bbcbb6fc973afaefa801aa51e4adac1ee615
low_R	0.05	P4x6	788d36acfc050945eb5358a37c31babcd2077f14336f68d57e0962a63331acc8
low_R	0.05	P5x5	bc5d20e4b14f6d2a13761da1b3a7b665393267dbb84e292787c48131bf1d4e36
low_R	0.05	P5x6	ac63de94289c3621576a86361c2d168043f9b7376bb18ee9697fd35e237cdf15
low_R	0.05	P6x6	e25eb653cf9a4d593a3905cd78045fc6a5f39cc3269a99b17c1d828464df9a4f
low_R	0.02	G05	40978b39f6d645e404cc459140d3d51fd10514fe0cfbc5e38761afaa41e3f15e
low_R	0.02	G06	abc40b88075eef29934ec40bd9e0c131e07eea06e8d04fe7ece6663dde420dd6
low_R	0.02	G07	bd12e28cdbb7953a5f2995e04bf1bbe3fb2b96d818d4e64239896aec3969d188
low_R	0.02	G08	7da3131f62c7718b0115a1d2a46c95355a0d801011ebe7ffc93557c571869def
low_R	0.02	G09	ce1fb40a780dec81f2a88961fd9d48d844a2dcaf6a4faf36281a9ea69b2333f7
low_R	0.02	G10	2cf308de9aa61f4dc9602f29000c7d94f7ff3a9ec222ed5c4f4f8a9fb18b427e
low_R	0.02	G11	3e177a13852494a43a010fc67158e54d8d8cf4eea0059ca0e5681e0b8f4aad95
low_R	0.02	G12	be0ae9c3a1e055dbb0e9c626e4b986ade8bad81d0aab6f88ac860f668098e041
low_R	0.02	P3x3	5e7f341f28c6d32bcac1036369981c7007a992bbc5c37c508215ef54d03179a0
low_R	0.02	P3x4	878b1c066e19e843ffcd2335e21fe7e330620e6ded3447186971a6dfa75560a9
low_R	0.02	P3x5	f1b533ad6cf1da46b0b1098721a1b5dafc478d285f4101b342d86c17bc45bf92
low_R	0.02	P3x6	86a36cc0a777835c7f70d2364612bce9e473740cc05218dfd07c2c4e2b55935a
low_R	0.02	P4x4	91ba1fa52bbd1f945a94a790e2ba63af7c266f31644bc3c019577385f6ad4752
low_R	0.02	P4x5	b2b5b454f1f24b9f411f9d165062b56f05baa31d41fb6226f396520aa5ffc93c
low_R	0.02	P4x6	9cec0f2e2e2ac9b69b6388690e71265e93980559b891d20a378e2b82ddf9c819
low_R	0.02	P5x5	c6b9c1a24f8a3aab6f481a99f8ab5c74801f768766868871e01f30ec4ba3dfba
low_R	0.02	P5x6	b08a1179faa085d12e80983ba933de719624e40b8aae7eb0e7c43a6e30a18017
low_R	0.02	P6x6	5d31d6ed1a86dead08a60caba740dff4525ca840353b030909fb2ccb41bb39d8
low_R	0.01	G05	dc45fba160704d772d0ecfd5a1660f30d168b9157d8e1e0e80b8cb519ee559a1
low_R	0.01	G06	5b105b525ccfce86ebcfa291fbc3236110d4e33702fffb113e445e7f9273169a
low_R	0.01	G07	9bcc1e742373de1f41d5c307464217ef8be79cf0cf266b00c1a9760669bfcbea
low_R	0.01	G08	f38d854589b99797f046e2b29fc2e35cdb10006c3f26863fae8723b8a6ae13c0
low_R	0.01	G09	8849a1150121196bc51419bbc8acaf26e0ca8b3f48ce918c1ef85820161aaa31
low_R	0.01	G10	22c3f9b0a84abd502c388ec0c23c01dfd2baab164b950a377fb1c1cb14f1ff04
low_R	0.01	G11	af46c7c6f5d06b1524475ea5d808ebb8c7f72609cedc3ac7167901f0715a9e1f
low_R	0.01	G12	5a141a9191aa82d4e33b826e0a686e797c45309c356aeed41d25f28c47250a85
low_R	0.01	P3x3	7fb3e6e97af60e81b27d1ac84185e8b9231283a9480138997a417f8b20e46f63
low_R	0.01	P3x4	16f30cb5d3656d2e0e4ad88e3074c149ec4d1e5cb2be92bd4965d82a6979aadd
low_R	0.01	P3x5	01cb87a3f964748d16572822b3f661304099c1c2ccab183fe0ac598551c85ed7
low_R	0.01	P3x6	4971752a51e9df6593cd716c5b5c25ab8c207951d58a5df610af04ff3bd0e1b1
low_R	0.01	P4x4	d20ea6181de434394573293e8b1c27181945a4d2effb85750711adb6ffa54e67
low_R	0.01	P4x5	59f914d648978a448bf16bbb44f9ea2a40ac759a60bc6d0ea4cb8bf6b8b9c08d
low_R	0.01	P4x6	abecb500b26995eee34266dc98d33a4154f39c7f151dc08219890e5ead80d09b
