source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_5x5_s2_4	5x5	27.52511084042126	11.8920006181042	-15.63311022231706	0.13685110804361603	0.5877425774047672	0.4508914693611512	11.3872042676533	1.0000000000000027
random_5x6_s3_240	5x6	14.52454771649133	10.987435863332685	-3.5371118531586454	0.4339311287552558	0.6014675950818913	0.1675364663266355	2.9082659107497633	1.0000000000000004
random_6x6_s3_215	6x6	10.903701955678368	10.650741855576852	-0.25296010010151626	0.601626667380602	0.7681468835422532	0.16652021616165125	1.4108964759754707	1.0000000000000002
random_3x3_s0_205	3x3	16.130319909890165	13.452500697210107	-2.677819212680058	0.37661270354905574	0.5418301243104703	0.16521742076141455	3.2606302926942874	1.0
random_3x4_s0_82	3x4	22.459360391242374	13.367201163827955	-9.092159227414419	0.22234448623112354	0.6463583060646764	0.4240138198335528	6.8096239169275705	1.0000000000000009
random_3x5_s3_48	3x5	24.860354702273295	12.70108907583503	-12.159265626438264	0.18619583487472227	0.5254731565860435	0.3392773217113213	8.526213115570124	1.0000000000000004
random_3x6_s2_30	3x6	17.757663089042918	11.547993536818002	-6.209669552224916	0.3241904772183009	0.5793913418447036	0.25520086462640273	4.2815042546036315	1.0000000000000004
random_4x4_s0_255	4x4	23.875659534955574	13.048853242330303	-10.826806292625271	0.16978069058147813	0.6110843264623683	0.44130363588089017	5.969034714250818	1.0000000000000007
random_4x5_s3_153	4x5	11.516016880105608	10.401412213455817	-1.1146046666497913	0.5534310285430448	0.7567384322047129	0.2033074036616681	1.901670858877576	1.0000000000000002
random_4x6_s3_43	4x6	49.590829170389355	11.663189525647915	-37.92763964474144	0.047668908935609954	0.801760372329251	0.7540914633936411	36.5606505693609	1.0000000000000262
random_5x5_s1_113	5x5	12.252438563315971	10.510357819496697	-1.7420807438192742	0.5366644084429018	0.7265684967710379	0.1899040883281361	2.719064154249029	1.0
random_5x6_s2_7	5x6	10.254330929095302	10.108917953322424	-0.14541297577287793	0.7670852749632623	0.7630434068035729	-0.004041868159689432	1.2878307434905447	1.0000000000000002
random_6x6_s3_54	6x6	10.540589564340213	10.003603685792905	-0.5369858785473074	0.5724133993409125	0.6076003875947656	0.035186988253853135	1.6599394503770641	1.0000000000000004
random_3x3_s0_25	3x3	49.659102530748534	13.28355776923019	-36.37554476151834	0.051905363490749035	0.5286748338766197	0.4767694703858707	33.35966587172414	1.0000000000000013
random_3x4_s1_37	3x4	14.49785129389579	13.04789114373365	-1.4499601501621395	0.4398407204808888	0.5395262338228676	0.09968551334197878	2.066703472565399	1.0000000000000007
random_3x5_s1_202	3x5	13.268716765288872	11.950191423942828	-1.318525341346044	0.49838823567236845	0.5550194519925112	0.056631216320142785	1.955302734083239	1.0
random_3x6_s1_254	3x6	13.896261626599358	11.611531071356676	-2.2847305552426818	0.4706864870508288	0.5933367003846439	0.12265021333381515	3.131298895382913	1.0000000000000004
