definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.02451555355456535	regular-mutation[steps=4,scale=0.03]	0.0005560278099434009	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.0639291609859259	repulsive-gap[alpha=16]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.06060225743111264	repulsive-gap[alpha=16]	0.05204046953698767	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.05749093236726582	repulsive-gap[alpha=16]	0.05134008526635329	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.08580674286715001	repulsive-gap[alpha=16]	0.4925265486911226	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.10619450492043041	repulsive-gap[alpha=4]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.26089233511408116	repulsive-gap[alpha=4]	1.4567404434868167	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.23352446441892197	repulsive-gap[alpha=4]	0.10490101475458054	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.28210712995550485	repulsive-gap[alpha=4]	0.20804101042462916	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.7137027180939365	repulsive-gap[alpha=1]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.8142829486740345	repulsive-gap[alpha=1]	0.14092734696137138	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.6601711870514227	repulsive-gap[alpha=1]	0.18926070093149427	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.592771963011454	repulsive-gap[alpha=1]	0.10209355597750262	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.35695548690643636	current-baseline[delta=0.2]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.40459543951008153	current-baseline[delta=0.2]	0.13346188628873032	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	1.0102817766982237	current-baseline[delta=0.2]	1.4970172128523214	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.707905580213232	current-baseline[delta=0.2]	0.29929887231383073	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.0016123046564277034	repulsive-gap[regular]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.001609663795690432	repulsive-gap[regular]	0.0016379415185232642	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.0015705268120798804	repulsive-gap[regular]	0.02431376273438807	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.0015072945724793597	repulsive-gap[regular]	0.040261802036210374	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.017203271822375247	regular-mutation[steps=4,scale=0.03]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.015810913944407184	regular-mutation[steps=4,scale=0.03]	0.08093564365803417	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.0158423772183513	regular-mutation[steps=4,scale=0.03]	0.001989971867201635	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.01567746504205561	regular-mutation[steps=4,scale=0.03]	0.010409560006225619	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.029513578398892352	repulsive-gap[alpha=16]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.034313675039017916	repulsive-gap[alpha=16]	0.1626402795096413	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.03309185107448161	repulsive-gap[alpha=16]	0.0356074936055954	12	6	0.15	12
