evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_fixed_source_facet_buckets	random_product_sample:facet_11:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_11	survives	154						4.196192157357205	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.422078; recall=0.631068; spearman=-0.907673	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_11:top_decile	low_ridge_magnitude_signal	random_sample:facet_11	survives	77						3.9640359640359644	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.402597; recall=0.596154; spearman=-0.856411	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_12:top_decile	low_ridge_magnitude_signal	random_sample:facet_12	survives	77						3.9640359640359644	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.402597; recall=0.596154; spearman=-0.832631	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_12:top_decile	low_ridge_magnitude_signal	random_sample:facet_12	survives	77						3.8361638361638364	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.38961; recall=0.576923; spearman=-0.840944	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_6:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_6	survives	154						3.8088513428319257	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.383117; recall=0.572816; spearman=0.713982	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_6:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_6	survives	154						3.8088513428319257	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.383117; recall=0.572816; spearman=0.713982	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_12:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_12	survives	154						3.615180935569285	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.363636; recall=0.543689; spearman=-0.877679	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_12:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_12	survives	154						3.615180935569285	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.363636; recall=0.543689; spearman=-0.877679	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_11:top_decile	low_ridge_magnitude_signal	random_sample:facet_11	survives	77						3.5804195804195804	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.363636; recall=0.538462; spearman=-0.864488	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_8:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_8	survives	308						3.56794425087108	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.357143; recall=0.536585; spearman=0.701565	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_8:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_8	survives	308						3.5030725372188787	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.350649; recall=0.526829; spearman=0.694904	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_8:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_8	survives	77						3.4525474525474524	feature=ridge_symp_area_normalized_entropy; rule=highest_15_percent; precision=0.350649; recall=0.519231; spearman=0.772882	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_9:top_decile	ridge_area_concentration_distribution_signal	random_product_sample:facet_9	survives	308						3.3408932530883746	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.334416; recall=0.502439; spearman=0.659217	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_11:top_decile	ridge_area_concentration_distribution_signal	random_sample:facet_11	survives	77						3.324675324675325	feature=ridge_symp_area_effective_face_count; rule=highest_15_percent; precision=0.337662; recall=0.5; spearman=0.755337	retained-table fixed source/facet diagnostic; not generated-candidate validation
