=== Crosspolytope EHZ Capacity Experiment ===
Facets: 16
Total search space: 3809950976992 (S,σ) pairs
Starting computation...

[    0.0s] m= 2/16 DONE | this_m:          112 eval,            8 pruned (  6.7%) of          120 | cumul:          112 eval,            8 pruned | progress: 0.000000% | best: none | ETA: 21654460s (total est: 21654460s)
[  900.0s] m= 9/16 ...  | this_m:     11634910 eval,      9197994 pruned ( 44.2%) of    461260800 | cumul:     53740006 eval,     41272450 pruned | progress: 0.002494% | best: 4.000000 | ETA: 36088747s (total est: 36089647s)
[  910.0s] m= 9/16 ...  | this_m:     12164562 eval,      9841062 pruned ( 44.7%) of    461260800 | cumul:     54269658 eval,     41915518 pruned | progress: 0.002525% | best: 4.000000 | ETA: 36044827s (total est: 36045737s)
[  920.0s] m= 9/16 ...  | this_m:     12695082 eval,     10272912 pruned ( 44.7%) of    461260800 | cumul:     54800178 eval,     42347368 pruned | progress: 0.002550% | best: 4.000000 | ETA: 36079920s (total est: 36080840s)
[  930.0s] m= 9/16 ...  | this_m:     13226145 eval,     10682328 pruned ( 44.7%) of    461260800 | cumul:     55331241 eval,     42756784 pruned | progress: 0.002575% | best: 4.000000 | ETA: 36122385s (total est: 36123315s)
[  940.0s] m= 9/16 ...  | this_m:     13755289 eval,     11099904 pruned ( 44.7%) of    461260800 | cumul:     55860385 eval,     43174360 pruned | progress: 0.002599% | best: 4.000000 | ETA: 36161763s (total est: 36162703s)
[  950.0s] m= 9/16 ...  | this_m:     14280561 eval,     11591760 pruned ( 44.8%) of    461260800 | cumul:     56385657 eval,     43666216 pruned | progress: 0.002626% | best: 4.000000 | ETA: 36174921s (total est: 36175871s)
[  960.0s] m= 9/16 ...  | this_m:     14808122 eval,     12179958 pruned ( 45.1%) of    461260800 | cumul:     56913218 eval,     44254414 pruned | progress: 0.002655% | best: 4.000000 | ETA: 36152532s (total est: 36153492s)
[  970.0s] m= 9/16 ...  | this_m:     15336296 eval,     12738577 pruned ( 45.4%) of    461260800 | cumul:     57441392 eval,     44813033 pruned | progress: 0.002684% | best: 4.000000 | ETA: 36140867s (total est: 36141837s)
[  980.0s] m= 9/16 ...  | this_m:     15865964 eval,     13188702 pruned ( 45.4%) of    461260800 | cumul:     57971060 eval,     45263158 pruned | progress: 0.002710% | best: 4.000000 | ETA: 36166895s (total est: 36167875s)
[  990.0s] m= 9/16 ...  | this_m:     16399388 eval,     13630662 pruned ( 45.4%) of    461260800 | cumul:     58504484 eval,     45705118 pruned | progress: 0.002735% | best: 4.000000 | ETA: 36193965s (total est: 36194955s)
[ 1000.0s] m= 9/16 ...  | this_m:     16930945 eval,     14155776 pruned ( 45.5%) of    461260800 | cumul:     59036041 eval,     46230232 pruned | progress: 0.002763% | best: 4.000000 | ETA: 36192602s (total est: 36193602s)
[ 1010.0s] m= 9/16 ...  | this_m:     17459817 eval,     14699520 pruned ( 45.7%) of    461260800 | cumul:     59564913 eval,     46773976 pruned | progress: 0.002791% | best: 4.000000 | ETA: 36185800s (total est: 36186810s)
[ 1020.0s] m= 9/16 ...  | this_m:     17989956 eval,     15021945 pruned ( 45.5%) of    461260800 | cumul:     60095052 eval,     47096401 pruned | progress: 0.002813% | best: 4.000000 | ETA: 36253407s (total est: 36254427s)
[ 1030.0s] m= 9/16 ...  | this_m:     18518333 eval,     15342288 pruned ( 45.3%) of    461260800 | cumul:     60623429 eval,     47416744 pruned | progress: 0.002836% | best: 4.000000 | ETA: 36321239s (total est: 36322270s)
[ 1040.0s] m= 9/16 ...  | this_m:     19045875 eval,     15885264 pruned ( 45.5%) of    461260800 | cumul:     61150971 eval,     47959720 pruned | progress: 0.002864% | best: 4.000000 | ETA: 36314043s (total est: 36315083s)
[ 1050.0s] m= 9/16 ...  | this_m:     19567804 eval,     16365696 pruned ( 45.5%) of    461260800 | cumul:     61672900 eval,     48440152 pruned | progress: 0.002890% | best: 4.000000 | ETA: 36329460s (total est: 36330510s)
[ 1060.0s] m= 9/16 ...  | this_m:     20092889 eval,     16725456 pruned ( 45.4%) of    461260800 | cumul:     62197985 eval,     48799912 pruned | progress: 0.002913% | best: 4.000000 | ETA: 36383079s (total est: 36384139s)
[ 1070.0s] m= 9/16 ...  | this_m:     20618496 eval,     17188944 pruned ( 45.5%) of    461260800 | cumul:     62723592 eval,     49263400 pruned | progress: 0.002939% | best: 4.000000 | ETA: 36401929s (total est: 36402999s)
[ 1080.0s] m= 9/16 ...  | this_m:     21140197 eval,     17602752 pruned ( 45.4%) of    461260800 | cumul:     63245293 eval,     49677208 pruned | progress: 0.002964% | best: 4.000000 | ETA: 36437733s (total est: 36438813s)
