selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	0.05	G09	26	-0.1829059829059829	-0.6217059829059829	-0.6362393162393163	-0.8290769230769232	-0.33323076923076933	True	False
high_sys	0.02	G09	11	-0.27272727272727276	-0.5574818181818182	-0.5909090909090909	-0.9093181818181818	0.045681818181817976	False	False
high_sys	0.01	G09	6	-0.48571428571428577	-0.5164571428571428	-0.6	-0.9428571428571428	0.37142857142857144	False	False
low_R	1.0	G09	512	-0.933354004302995	-0.9324336393030236	-0.9324883627447614	-0.9443062408625731	-0.917767393565964	False	False
low_R	0.5	G09	256	-0.6836375600823986	-0.8201546084630349	-0.8212573672465096	-0.8630370579652095	-0.7698636165312428	True	False
low_R	0.2	G09	103	-0.38751482669243953	-0.725947645301586	-0.7298082414444493	-0.8175910468743135	-0.6102886262794887	True	False
low_R	0.1	G09	52	-0.2959105267651327	-0.6759375053359515	-0.6873132416972594	-0.8229381883377443	-0.49175702211218303	True	False
low_R	0.05	G09	26	-0.1699145299145299	-0.6240464957264957	-0.6328205128205128	-0.8365811965811966	-0.3517948717948718	True	False
low_R	0.02	G09	11	0.08181818181818183	-0.5545545454545454	-0.5909090909090909	-0.8909090909090909	-0.05431818181818202	True	False
low_R	0.01	G09	6	0.5428571428571429	-0.5052571428571428	-0.6	-0.9428571428571428	0.37142857142857144	True	False
high_sys	1.0	G10	512	-0.9032457356290269	-0.9016179566710727	-0.9024327102716838	-0.9191779033771643	-0.8808291910927433	False	False
high_sys	0.5	G10	256	-0.6245622568093383	-0.7618165963321125	-0.7636959258411535	-0.8157933916514076	-0.6960412136644542	True	False
high_sys	0.2	G10	103	-0.2744914993630014	-0.6581792162720204	-0.6605840618547643	-0.7706162412687256	-0.5261641699248781	True	False
high_sys	0.1	G10	52	-0.20310765815760265	-0.5954047639375053	-0.6007854520618117	-0.7710257833176811	-0.38500597626568783	True	False
high_sys	0.05	G10	26	-0.2717948717948718	-0.5442919658119658	-0.561025641025641	-0.783948717948718	-0.2169743589743591	False	False
high_sys	0.02	G10	11	0.26363636363636367	-0.4809181818181818	-0.5181818181818182	-0.8638636363636364	0.1	True	False
high_sys	0.01	G10	6	0.7714285714285715	-0.4412	-0.4857142857142857	-0.9428571428571428	0.4857142857142857	True	False
low_R	1.0	G10	512	-0.9032457356290269	-0.9016179566710727	-0.9024327102716838	-0.9191779033771643	-0.8808291910927433	False	False
low_R	0.5	G10	256	-0.6351396200503546	-0.7616428444724193	-0.7637345502403297	-0.8179944817177844	-0.6967832670519569	True	False
low_R	0.2	G10	103	-0.32009181566577344	-0.6558431885076659	-0.6589476343188507	-0.7661910227122963	-0.5305979001010412	True	False
low_R	0.1	G10	52	-0.023563561854349865	-0.6015919918039786	-0.6157688038931102	-0.7688956714761376	-0.39178263467941604	True	False
low_R	0.05	G10	26	0.08102564102564101	-0.5430618803418804	-0.5582905982905982	-0.8051623931623932	-0.21157264957264962	True	False
low_R	0.02	G10	11	-0.009090909090909092	-0.47609090909090906	-0.509090909090909	-0.8636363636363636	0.15454545454545454	False	False
