feature	left_q05	left_q95	population_left	population_right	q05_q95_interval_overlap	right_q05	right_q95	side_count
radial_rms	0.8860103978823564	0.9956001247930315	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.01064323579844124	0.897140293650981	10.136940566738568	3
angle_gap_cv	0.056162359005115084	0.2002708477897549	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.24929882851304724	0.08155583502327228	0.5323579892636406	3
log_perimeter	1.5238135060488365	1.607174643316395	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.11319555897384087	1.5283543551451413	2.2201331221697194	3
covariance_anisotropy	1.4629082758772707	4.164375810670255	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.021188508063990173	1.6149577595956484	121.78369930917036	3
radial_rms	0.8860103978823564	0.9956001247930315	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.08128367764350286	0.8916006642705273	2.165473428315466	3
angle_gap_cv	0.056162359005115084	0.2002708477897549	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.4261297267181806	0.06961433514802853	0.36277441737516064	3
log_perimeter	1.5238135060488365	1.607174643316395	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	1.5171063970610275	1.5171063970610277	3
covariance_anisotropy	1.4629082758772707	4.164375810670255	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	1.0000000000000007	1.0000000000000036	3
radial_rms	0.8860103978823564	0.9956001247930315	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	0.8773826753016616	0.8773826753016618	3
angle_gap_cv	0.056162359005115084	0.2002708477897549	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	1.731274681912423e-16	5.193824045737268e-16	3
log_perimeter	1.5172159755668866	1.5290449056326978	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.004991735653196341	1.5263708320573381	2.0529161330156023	3
covariance_anisotropy	1.0489170139371042	1.6598169501071023	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.0015594977076431372	1.5673908056662402	60.31552830030144	3
radial_rms	0.8775215329672241	0.8926198298853005	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.0034302746052405357	0.8894672260265016	1.7965744431868804	3
angle_gap_cv	0.007008689890833199	0.07426761909614085	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.04137959199247422	0.061998177992691264	0.3035181650369645	3
log_perimeter	1.5172159755668866	1.5290449056326978	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.0	1.5327711065982914	3.6894408645128833	3
covariance_anisotropy	1.0489170139371042	1.6598169501071023	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.0	1.767724971456539	64110.69971272171	3
radial_rms	0.8775215329672241	0.8926198298853005	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.0	0.897140293650981	10.136940566738568	3
angle_gap_cv	0.007008689890833199	0.07426761909614085	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.0	0.08155583502327228	0.5323579892636406	3
log_perimeter	1.5172159755668866	1.5290449056326978	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.0009824066618575275	1.5283543551451413	2.2201331221697194	3
covariance_anisotropy	1.0489170139371042	1.6598169501071023	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.0003715515086759304	1.6149577595956484	121.78369930917036	3
radial_rms	0.8775215329672241	0.8926198298853005	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.0007913072052257468	0.8916006642705273	2.165473428315466	3
angle_gap_cv	0.007008689890833199	0.07426761909614085	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.013079629623169112	0.06961433514802853	0.36277441737516064	3
log_perimeter	1.5172159755668866	1.5290449056326978	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	0.0	1.5171063970610275	1.5171063970610277	3
