stratum	n	threshold_quantile	threshold	tail_n	mean_residual_life	median_residual_life	max_excess	enough_exceedances_flag
product:6x6	1024	0.81000000000000005	0.65816871487795847	195	0.061727933991647214	0.053250836929565115	0.19544317329228866	yes
product:6x6	1024	0.81999999999999995	0.66427601421541926	185	0.05877212887219932	0.050904567590638106	0.18933587395482787	yes
product:6x6	1024	0.82999999999999996	0.66921643508722239	174	0.057389526796958551	0.049655177760448754	0.18439545308302474	yes
product:6x6	1024	0.83999999999999997	0.67543816205855867	164	0.054461408418329922	0.049290196925803942	0.17817372611168847	yes
product:6x6	1024	0.84999999999999998	0.67971296843007145	154	0.053576410976227416	0.049929636943387146	0.17389891974017568	yes
product:6x6	1024	0.85999999999999999	0.68356364081104037	144	0.053317850923777436	0.050904695002777389	0.17004824735920676	yes
product:6x6	1024	0.87	0.68882373969420496	133	0.052240974253801899	0.050226151964026022	0.16478814847604217	yes
product:6x6	1024	0.88	0.69546482583455727	123	0.04957298418249647	0.045691735219455132	0.15814706233568987	yes
product:6x6	1024	0.89000000000000001	0.70197204142457903	113	0.047132611912464345	0.041509646705511938	0.15163984674566811	yes
product:6x6	1024	0.90000000000000002	0.70825810549620261	103	0.045136689090421733	0.041844417036134063	0.14535378267404453	yes
product:6x6	1024	0.91000000000000003	0.71504939591068495	93	0.042915570003584015	0.037102397936240594	0.13856249225956219	yes
product:6x6	1024	0.92000000000000004	0.72449079180924814	82	0.038682330371640511	0.033334385671552835	0.129121096360999	yes
product:6x6	1024	0.93000000000000005	0.73431941445064841	72	0.0335524770475326	0.025588963351482585	0.11929247371959872	yes
product:6x6	1024	0.93999999999999995	0.74112311151038757	62	0.031481145695515113	0.025840547058464447	0.11248877665985957	yes
product:6x6	1024	0.94999999999999996	0.7498293014095222	52	0.028342277371201131	0.025905481510247463	0.10378258676072494	yes
product:6x6	1024	0.95999999999999996	0.75755701198903347	41	0.027293341718408859	0.021260260432822364	0.096054876181213666	yes
product:6x6	1024	0.96999999999999997	0.7664338309784503	31	0.026258157506108361	0.018951413275104967	0.087178057191796832	yes
product:6x6	1024	0.97999999999999998	0.77840191476348397	21	0.023010682079600314	0.017358380749512126	0.075209973406763164	yes
product:6x6	1024	0.98999999999999999	0.79536548536085683	11	0.021448757978129306	0.016417142008256946	0.058246402809390307	no
product:5x5	1024	0.75	0.55467520773301493	256	0.090281180694956525	0.074129992504300135	0.28912030018039847	yes
product:5x5	1024	0.76000000000000001	0.559523012470724	246	0.089000494105290512	0.073117222913962054	0.2842724954426894	yes
product:5x5	1024	0.77000000000000002	0.56557568991610152	236	0.08663008671624213	0.070277771135118572	0.27821981799731188	yes
product:5x5	1024	0.78000000000000003	0.57001298323695471	226	0.085921659936390754	0.06923206402965304	0.27378252467645869	yes
product:5x5	1024	0.79000000000000004	0.57374810420436739	215	0.086471834437751596	0.072426647650877252	0.27004740370904601	yes
product:5x5	1024	0.80000000000000004	0.5811818852044216	205	0.083083657273680195	0.06795324642543199	0.2626136227089918	yes
product:5x5	1024	0.81000000000000005	0.58505409604149439	195	0.083391387006492942	0.07015879312480866	0.25874141187191901	yes
product:5x5	1024	0.81999999999999995	0.59603319935209731	185	0.076655430675195105	0.067978315608246409	0.24776230856131609	yes
