stratum	n	rank_desc	sys	gap_from_one	gap_to_next_lower	gap_to_record	empirical_tail_mass_at_or_above_rank
product:4x5	1024	7	0.76208430397060734	0.23791569602939266	0.0078495160816316467	0.076040184958972357	0.0068359375
product:4x5	1024	8	0.75423478788897569	0.24576521211102431	0.0034832650783678254	0.083889701040604003	0.0078125
product:4x5	1024	9	0.75075152281060786	0.24924847718939214	0.01023761863891004	0.087372966118971829	0.0087890625
product:4x5	1024	10	0.74051390417169782	0.25948609582830218	0.0001954204273587612	0.097610584757881869	0.009765625
product:4x5	1024	11	0.74031848374433906	0.25968151625566094	0.0019961238794763414	0.09780600518524063	0.0107421875
product:4x5	1024	12	0.73832235986486272	0.26167764013513728	0.00072004900999800281	0.099802129064716971	0.01171875
product:4x5	1024	13	0.73760231085486472	0.26239768914513528	0.0033977706216674619	0.10052217807471497	0.0126953125
product:4x5	1024	14	0.73420454023319726	0.26579545976680274	0.00035431357464155155	0.10391994869638244	0.013671875
product:4x5	1024	15	0.7338502266585557	0.2661497733414443	0.0016833877185499224	0.10427426227102399	0.0146484375
product:4x5	1024	16	0.73216683894000578	0.26783316105999422	0.0037811830875118524	0.10595764998957391	0.015625
product:4x5	1024	17	0.72838565585249393	0.27161434414750607	0.0019829919021091547	0.10973883307708576	0.0166015625
product:4x5	1024	18	0.72640266395038477	0.27359733604961523	0.0019322086752207035	0.11172182497919492	0.017578125
product:4x5	1024	19	0.72447045527516407	0.27552954472483593	0.00046519755035367982	0.11365403365441562	0.0185546875
product:4x5	1024	20	0.72400525772481039	0.27599474227518961	0.00028098718956892643	0.1141192312047693	0.01953125
product:4x5	1024	21	0.72372427053524147	0.27627572946475853	0.00029955832748740363	0.11440021839433823	0.0205078125
product:4x5	1024	22	0.72342471220775406	0.27657528779224594	1.5691325591538074e-05	0.11469977672182563	0.021484375
product:4x5	1024	23	0.72340902088216252	0.27659097911783748	0.00059170860880075615	0.11471546804741717	0.0224609375
product:4x5	1024	24	0.72281731227336177	0.27718268772663823	0.0052128430345887988	0.11530717665621792	0.0234375
product:4x5	1024	25	0.71760446923877297	0.28239553076122703	0.00039675656954452077	0.12052001969080672	0.0244140625
product:4x5	1024	26	0.71720771266922845	0.28279228733077155	0.0011959908141410125	0.12091677626035124	0.025390625
product:4x5	1024	27	0.71601172185508744	0.28398827814491256	0.0015639065711472444	0.12211276707449226	0.0263671875
product:4x5	1024	28	0.71444781528394019	0.28555218471605981	0.00092260854672920889	0.1236766736456395	0.02734375
product:4x5	1024	29	0.71352520673721098	0.28647479326278902	0.0016674818455939544	0.12459928219236871	0.0283203125
product:4x5	1024	30	0.71185772489161703	0.28814227510838297	0.0059719554775713446	0.12626676403796266	0.029296875
product:4x6	1024	1	0.82926655519817316	0.17073344480182684	0.04126297066534157	0	0.0009765625
product:4x6	1024	2	0.78800358453283159	0.21199641546716841	0.0023864016504486774	0.04126297066534157	0.001953125
product:4x6	1024	3	0.78561718288238291	0.21438281711761709	0.00092645625572451706	0.043649372315790247	0.0029296875
product:4x6	1024	4	0.7846907266266584	0.2153092733733416	0.01022804169581859	0.044575828571514764	0.00390625
product:4x6	1024	5	0.77446268493083981	0.22553731506916019	0.0017507297803330824	0.054803870267333354	0.0048828125
product:4x6	1024	6	0.77271195515050672	0.22728804484949328	0.0037203172961165487	0.056554600047666437	0.005859375
