accepted_rows	attempts_total_accepted_prefix	attempts_total_with_exhaustion	censored	comparison_eligible	exhausted_rows	first_hit_accepted_index	first_hit_attempt	generator_ms	population	region	rejections_in_accepted_prefix	rejections_with_exhaustion	requested_rows	seed	seed_role	side_count	support_overlap	validation_ms_estimate
24	24	24	True	True	0	NA	NA	0.044181000000000005	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_high	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.023304000000000005	repulsive-gap[alpha=16]	covariance_anisotropy_high	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	47	24	False	True	0	9	20	0.031285	repulsive-gap[alpha=1]	covariance_anisotropy_high	23	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	26	24	False	True	0	2	2	0.025521	repulsive-gap[alpha=4]	covariance_anisotropy_high	2	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.018276	repulsive-gap[regular]	covariance_anisotropy_high	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	False	True	0	4	4	0.022708999999999997	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_high	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	70	24	False	True	0	8	28	0.04968	current-baseline[delta=0.2]	covariance_anisotropy_high	46	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	229	24	True	True	0	NA	NA	0.24709700000000004	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_high	205	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.027592	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_high	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.015021000000000001	repulsive-gap[alpha=16]	covariance_anisotropy_high	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	42	24	False	True	0	7	10	0.023816000000000004	repulsive-gap[alpha=1]	covariance_anisotropy_high	18	0	24	20260718	confirmation-2	4	0.9999988675484761	21.172738678893822
