chord_witness_id	chosen_witness_id	disagree	frame_witness_id	mode	side_count	step
witness-a02f933a32a6a3cef0b9	witness-a02f933a32a6a3cef0b9	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	19
witness-9561905d5b77fb454cb6	witness-9561905d5b77fb454cb6	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	20
witness-2808d975f708bde4cbfe	witness-2808d975f708bde4cbfe	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	21
witness-1e212a1d54b91ccb6980	witness-1e212a1d54b91ccb6980	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	22
witness-ca83c38f19865894ba98	witness-ca83c38f19865894ba98	False	witness-ca83c38f19865894ba98	offline_greedy_chord	6	23
witness-d001479972491e5c97ef	witness-d001479972491e5c97ef	True	witness-a3cea945262062a9cb24	offline_greedy_chord	6	24
witness-318bb4b3f19aa7b82ffc	witness-318bb4b3f19aa7b82ffc	True	witness-d7ec766adf6c6b5bc864	offline_greedy_max	8	1
witness-68de0d4f117f5462e248	witness-68de0d4f117f5462e248	True	witness-c1f19659a8390934946f	offline_greedy_max	8	2
witness-97e467b5a2ff21ceba2b	witness-c1f19659a8390934946f	True	witness-c1f19659a8390934946f	offline_greedy_max	8	3
witness-97e467b5a2ff21ceba2b	witness-97e467b5a2ff21ceba2b	True	witness-e56626446d17f6ae479f	offline_greedy_max	8	4
witness-f17126c32f4613f91ec2	witness-f17126c32f4613f91ec2	True	witness-e56626446d17f6ae479f	offline_greedy_max	8	5
witness-f55ae6537ad204fb0f8c	witness-f55ae6537ad204fb0f8c	True	witness-e56626446d17f6ae479f	offline_greedy_max	8	6
witness-dc81961fa41431aeb90a	witness-e56626446d17f6ae479f	True	witness-e56626446d17f6ae479f	offline_greedy_max	8	7
witness-dc81961fa41431aeb90a	witness-dc81961fa41431aeb90a	True	witness-d96a45eed5088d010656	offline_greedy_max	8	8
witness-da74f621bfd5262fc44a	witness-da74f621bfd5262fc44a	True	witness-d96a45eed5088d010656	offline_greedy_max	8	9
witness-a8c7a27f61bba30aca17	witness-a8c7a27f61bba30aca17	True	witness-d96a45eed5088d010656	offline_greedy_max	8	10
